order_id,order_date,customer_id,customer_name,city,market,product_code,product_name,variant,category,quantity,price,revenue
1001,2024-02-17,129,Cardio King 4,Unknown,TR,c18d52a01eaeb420,Protein Bar,50g,Supplement,1,475.89,475.89
1002,2024-01-25,136,Energy Gym 8,Istanbul,TR,34158e25c8174cfb,Multivitamin 30 tabs,Regular,Snack,15,214.68,3220.2000000000003
1003,2024-10-01,108,Yoga Studio 6,Izmir,TR,c18d52a01eaeb420,Protein Bar,50g,Supplement,74,212.77,15744.980000000001
1004,2024-03-05,148,Power Up 10,Istanbul,TR,34158e25c8174cfb,Multivitamin 30 tabs,Regular,Snack,82,116.68,9567.76
1005,2024-10-13,113,Iron Works 8,Unknown,TR,31adc9243b8bc59d,Energy Drink,250ml,Supplement,58,445.43,25834.94
1006,2024-05-14,139,Iron Works 1,Ankara,TR,31adc9243b8bc59d,Energy Drink,250ml,Supplement,19,306.8,5829.2
1007,2024-01-02,118,HealthyLife 9,Izmir,TR,c18d52a01eaeb420,Protein Bar,50g,Supplement,14,446.63,6252.82
1008,2024-02-03,118,HealthyLife 9,Izmir,TR,4f5c11403f7e2f88,Whey Powder,1kg,Snack,62,137.0,8494.0
1009,2024-06-18,120,HealthyLife 7,Bursa,TR,4f5c11403f7e2f88,Whey Powder,1kg,Snack,8,231.57,1852.56
1010,2024-04-04,121,Fit Food 2,Izmir,TR,4f5c11403f7e2f88,Whey Powder,2kg,Snack,50,243.39,12169.5
1011,2024-12-06,119,HealthyLife 1,Bursa,TR,7c9725ae1ecf2297,Oat Cookie Pack,Regular,Supplement,49,331.09,16223.409999999998
1012,2024-05-14,134,Muscle Beach 2,Izmir,TR,3b873eefa1afbeec,Oat Cookie Single,Regular,Drink,53,85.92,4553.76
1013,2024-12-30,136,Energy Gym 8,Istanbul,TR,c18d52a01eaeb420,Protein Bar,60g,Snack,45,75.42,3393.9
1014,2024-05-06,146,Vegan Market 9,Istanbul,TR,7c9725ae1ecf2297,Oat Cookie Pack,Regular,Supplement,56,87.48,4898.88
1015,2024-02-23,106,Fit Food 10,Unknown,TR,c18d52a01eaeb420,Protein Bar,50g,Supplement,34,146.62,4985.08
1016,2024-05-29,147,Vegan Market 5,Ankara,TR,3b873eefa1afbeec,Oat Cookie Single,Regular,Drink,8,296.92,2375.36
1017,2024-09-15,122,Cardio King 4,Izmir,TR,4f5c11403f7e2f88,Whey Powder,500g,Snack,84,468.07,39317.88
1018,2024-04-06,137,Energy Gym 1,Antalya,TR,31adc9243b8bc59d,Energy Drink,500ml,Supplement,52,98.16,5104.32
1019,2024-08-25,143,Power Up 9,Istanbul,TR,34158e25c8174cfb,Multivitamin 30 tabs,Regular,Snack,14,231.9,3246.6
1020,2024-04-21,147,Vegan Market 5,Ankara,TR,c18d52a01eaeb420,Protein Bar,50g,Supplement,54,446.78,24126.12
